sent_tail_radius,repair_tail_frac,W_decay
15,0.6,-1.0
15,0.6,-0.1
15,0.6,-0.01
15,0.6,-0.001
15,0.6,-0.0001
15,0.6,0.0
15,0.6,0.0001
15,0.6,0.001
15,0.6,0.01
15,0.6,0.1
15,0.6,1.0
15,0.62,-1.0
15,0.62,-0.1
15,0.62,-0.01
15,0.62,-0.001
15,0.62,-0.0001
15,0.62,0.0
15,0.62,0.0001
15,0.62,0.001
15,0.62,0.01
15,0.62,0.1
15,0.62,1.0
15,0.64,-1.0
15,0.64,-0.1
15,0.64,-0.01
15,0.64,-0.001
15,0.64,-0.0001
15,0.64,0.0
15,0.64,0.0001
15,0.64,0.001
15,0.64,0.01
15,0.64,0.1
15,0.64,1.0
15,0.66,-1.0
15,0.66,-0.1
15,0.66,-0.01
15,0.66,-0.001
15,0.66,-0.0001
15,0.66,0.0
15,0.66,0.0001
15,0.66,0.001
15,0.66,0.01
15,0.66,0.1
15,0.66,1.0
15,0.68,-1.0
15,0.68,-0.1
15,0.68,-0.01
15,0.68,-0.001
15,0.68,-0.0001
15,0.68,0.0
15,0.68,0.0001
15,0.68,0.001
15,0.68,0.01
15,0.68,0.1
15,0.68,1.0
15,0.7,-1.0
15,0.7,-0.1
15,0.7,-0.01
15,0.7,-0.001
15,0.7,-0.0001
15,0.7,0.0
15,0.7,0.0001
15,0.7,0.001
15,0.7,0.01
15,0.7,0.1
15,0.7,1.0
15,0.72,-1.0
15,0.72,-0.1
15,0.72,-0.01
15,0.72,-0.001
15,0.72,-0.0001
15,0.72,0.0
15,0.72,0.0001
15,0.72,0.001
15,0.72,0.01
15,0.72,0.1
15,0.72,1.0
15,0.74,-1.0
15,0.74,-0.1
15,0.74,-0.01
15,0.74,-0.001
15,0.74,-0.0001
15,0.74,0.0
15,0.74,0.0001
15,0.74,0.001
15,0.74,0.01
15,0.74,0.1
15,0.74,1.0
15,0.76,-1.0
15,0.76,-0.1
15,0.76,-0.01
15,0.76,-0.001
15,0.76,-0.0001
15,0.76,0.0
15,0.76,0.0001
15,0.76,0.001
15,0.76,0.01
15,0.76,0.1
15,0.76,1.0
15,0.78,-1.0
15,0.78,-0.1
15,0.78,-0.01
15,0.78,-0.001
15,0.78,-0.0001
15,0.78,0.0
15,0.78,0.0001
15,0.78,0.001
15,0.78,0.01
15,0.78,0.1
15,0.78,1.0
15,0.8,-1.0
15,0.8,-0.1
15,0.8,-0.01
15,0.8,-0.001
15,0.8,-0.0001
15,0.8,0.0
15,0.8,0.0001
15,0.8,0.001
15,0.8,0.01
15,0.8,0.1
15,0.8,1.0
15,0.82,-1.0
15,0.82,-0.1
15,0.82,-0.01
15,0.82,-0.001
15,0.82,-0.0001
15,0.82,0.0
15,0.82,0.0001
15,0.82,0.001
15,0.82,0.01
15,0.82,0.1
15,0.82,1.0
15,0.84,-1.0
15,0.84,-0.1
15,0.84,-0.01
15,0.84,-0.001
15,0.84,-0.0001
15,0.84,0.0
15,0.84,0.0001
15,0.84,0.001
15,0.84,0.01
15,0.84,0.1
15,0.84,1.0
15,0.86,-1.0
15,0.86,-0.1
15,0.86,-0.01
15,0.86,-0.001
15,0.86,-0.0001
15,0.86,0.0
15,0.86,0.0001
15,0.86,0.001
15,0.86,0.01
15,0.86,0.1
15,0.86,1.0
15,0.88,-1.0
15,0.88,-0.1
15,0.88,-0.01
15,0.88,-0.001
15,0.88,-0.0001
15,0.88,0.0
15,0.88,0.0001
15,0.88,0.001
15,0.88,0.01
15,0.88,0.1
15,0.88,1.0
15,0.9,-1.0
15,0.9,-0.1
15,0.9,-0.01
15,0.9,-0.001
15,0.9,-0.0001
15,0.9,0.0
15,0.9,0.0001
15,0.9,0.001
15,0.9,0.01
15,0.9,0.1
15,0.9,1.0
