seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,FTP,D_q50,D_q95,sent_q95
15,48,48,3,1,0.65,0.0001,1.01567,0.704511,0.335122,0.0507246,0.483073,2.40936,16.0947,0.18376
15,48,48,3,1,0.65,0.001,1.00758,0.780393,0.333611,0.0289855,0.411675,2.55523,16.9183,0.183603
15,48,48,3,1,0.65,0.0001,1.01567,0.704511,0.335122,0.0507246,0.483073,2.40936,16.0947,0.18376
15,48,48,3,2,0.65,0.0001,1.02337,0.503806,0.29677,0.0217391,0.459635,1.71226,9.05381,0.186768
15,48,48,3,2,0.65,-1e-06,1.02005,0.918718,0.310497,0.0144928,0.472295,1.92832,10.1504,0.185514
15,48,48,3,8,0.75,-1e-06,1.03152,0.715102,0.446888,0.123188,0.354311,4.92736,14.5394,0.145591
15,48,48,3,8,0.75,5e-06,1.04308,0.732434,0.426735,0.101449,0.35178,4.91287,14.5373,0.153339
15,48,48,3,8,0.75,2e-05,1.03789,0.910685,0.419046,0.0507246,0.350984,4.91862,14.5269,0.149826
15,48,48,3,8,0.75,1.69985e-05,1.03641,0.459717,0.415387,0.0652174,0.35706,4.92413,14.5273,0.150613
15,48,48,3,8,0.75,-0.00100349,1.01404,0.914524,0.49257,0.231884,0.353588,4.96454,14.5762,0.135225
15,48,48,3,8,0.75,-0.005,1.02226,0.794779,0.49829,0.108696,0.346499,4.99334,14.672,0.135431
15,48,48,3,8,0.75,-0.05,1.00853,0.932288,0.573686,0.0652174,0.355324,5.07452,14.8717,0.126891
15,48,48,3,8,0.75,-0.5,1.01078,0.040875,0.528449,0.0652174,0.457031,5.3377,15.2099,0.131119
15,48,48,3,8,0.75,-1,1.00854,0.517731,0.516979,0.0869565,0.620877,5.33602,15.3249,0.136582
15,48,48,3,8,0.75,-1,1.00854,0.517731,0.516979,0.0869565,0.620877,5.33602,15.3249,0.136582
15,48,48,3,8,0.8,0.0001,1.01504,0,0.460861,0.137681,0.348452,4.95757,14.6509,0.134615
15,48,48,3,8,0.4,0.0001,1.01073,0.461176,0.42842,0.0652174,0.372685,2.76326,18.0791,0.172683
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,-0.0001,1.01799,0.746345,0.49355,0.0724638,0.350767,4.94431,14.5557,0.143312
15,48,48,3,8,0.75,0.0001,0.989768,0.844222,0.383319,0.0217391,0.332393,12.5597,41.6137,0.12595
15,48,48,3,8,0.1,0.0001,0.994232,0,1,0,0.330006,6.57157,19.0765,0.173003
15,48,48,3,8,0.5,0.0001,1.01855,0.493021,0.326209,0.0507246,0.444589,2.02954,10.6023,0.186055
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.04005,0.811984,0.491718,0.0797101,0.354384,4.91927,14.5303,0.150678
15,48,48,3,8,0.75,0.0001,0.994548,0.109002,0.504351,0,0.389395,1.43616,9.34646,0.144485
15,48,48,3,8,0.75,0.0001,1.03064,0.761353,0.565417,0.268116,0.37594,5.91366,12.4244,0.155006
15,48,48,3,8,0.75,0.0001,0.985265,0.869189,0.667532,0,0.329427,4.10343,11.8109,0.128847
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,128,48,3,8,0.75,0.0001,1.03374,0.406804,0.392005,0.0842391,0.361979,4.9333,14.513,0.146685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.000249976,1.05433,0.878761,0.457625,0.123188,0.40842,4.89339,14.5029,0.153367
15,48,48,3,8,0.75,0.00160011,1.10875,0.297546,0.416903,0.0289855,0.428602,4.78998,14.456,0.162503
15,48,48,3,8,0.75,0.02,0.979865,0.716484,0.353608,0.0289855,0.370804,1.40653,13.333,0.169254
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.5,0.0001,1.01855,0.493021,0.326209,0.0507246,0.444589,2.02954,10.6023,0.186055
15,48,48,3,8,0.75,0.0001,0,0,1,0,0.775029,0,7.10461,0.0474812
15,48,48,3,8,0.75,0.0001,0,0,1,0,0.775029,0,7.10461,0.0474812
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
15,48,48,3,8,0.75,0.0001,1.03994,0.662188,0.432283,0.0434783,0.350188,4.92798,14.5439,0.150685
