seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,D_q50,D_q95,sent_q95
4,48,48,3,14,0.7,0.0001,1.05234,0.711511,0,0.0724638,4.89834,14.5971,0.149423
1,48,48,3,14,0.7,0.0002,1.04626,0.76616,0,0.115942,4.91089,14.5916,0.147193
2,48,48,3,14,0.7,0.0002,1.04162,0.982235,0,0.144928,4.90935,14.6087,0.148527
3,48,48,3,14,0.7,0.0002,1.04487,0.668919,0,0.108696,4.90727,14.6179,0.14909
4,48,48,3,14,0.7,0.0002,1.04393,0.857418,0,0.0942029,4.89927,14.5966,0.149755
1,48,48,3,14,0.7,0.0004,1.05845,0.865748,0,0.0942029,4.88886,14.5891,0.153423
2,48,48,3,14,0.7,0.0004,1.04909,0.819543,0,0.123188,4.90239,14.5928,0.150677
3,48,48,3,14,0.7,0.0004,1.05976,0.756463,0,0.0724638,4.87551,14.5695,0.151657
4,48,48,3,14,0.7,0.0004,1.06189,0.917107,0,0.0797101,4.89497,14.5814,0.149802
1,48,48,3,14,0.7,0.0006,1.07061,0.988875,0,0.0289855,4.87562,14.5693,0.157495
4,48,48,3,2,0.65,0,1.01767,0.706671,0,0.0289855,1.79638,10.297,0.185557
2,48,48,3,14,0.7,0.0006,1.07309,0.531859,0,0.0362319,4.87272,14.5824,0.156489
3,48,48,3,14,0.7,0.0006,1.08116,0.587414,0,0.057971,4.87206,14.5839,0.155259
4,48,48,3,14,0.7,0.0006,1.07389,0.575784,0,0.115942,4.86757,14.5588,0.15383
1,48,48,3,14,0.7,0.0008,1.10443,0.666461,0,0.0507246,4.84393,14.5719,0.159113
2,48,48,3,14,0.7,0.0008,1.08399,0.548878,0,0.101449,4.86454,14.5719,0.157099
3,48,48,3,14,0.7,0.0008,1.07207,0.974739,0,0.0942029,4.87507,14.5992,0.159239
4,48,48,3,14,0.7,0.0008,1.08661,0.633199,0,0.0507246,4.85484,14.5465,0.157135
1,48,48,3,14,0.7,0.001,1.09816,0.563399,0,0.0724638,4.85775,14.5697,0.15872
2,48,48,3,14,0.7,0.001,1.12126,0.884692,0,0.0507246,4.82053,14.5404,0.1587
3,48,48,3,14,0.7,0.001,1.09457,0.394643,0,0.0434783,4.83837,14.543,0.158641
1,48,48,3,2,0.65,0.0001,1.02089,0.851504,0,0.0507246,1.72288,9.19259,0.186038
4,48,48,3,14,0.7,0.001,1.09618,0.812868,0,0.057971,4.8469,14.5454,0.158079
1,48,48,3,14,0.7,0.002,1.17424,0.378519,0,0.057971,4.75232,14.49,0.167434
2,48,48,3,14,0.7,0.002,1.16148,0.612349,0,0.0942029,4.71213,14.5176,0.167834
3,48,48,3,14,0.7,0.002,1.15669,0.985713,0,0.101449,4.74422,14.4912,0.168107
4,48,48,3,14,0.7,0.002,1.14066,0.845644,0,0.057971,4.77908,14.4967,0.165079
