sent_tail_radius,repair_tail_frac,W_decay
10,0.6,-1.0
10,0.6,-0.1
10,0.6,-0.01
10,0.6,-0.001
10,0.6,-0.0001
10,0.6,0.0
10,0.6,0.0001
10,0.6,0.001
10,0.6,0.01
10,0.6,0.1
10,0.6,1.0
10,0.61,-1.0
10,0.61,-0.1
10,0.61,-0.01
10,0.61,-0.001
10,0.61,-0.0001
10,0.61,0.0
10,0.61,0.0001
10,0.61,0.001
10,0.61,0.01
10,0.61,0.1
10,0.61,1.0
10,0.62,-1.0
10,0.62,-0.1
10,0.62,-0.01
10,0.62,-0.001
10,0.62,-0.0001
10,0.62,0.0
10,0.62,0.0001
10,0.62,0.001
10,0.62,0.01
10,0.62,0.1
10,0.62,1.0
10,0.63,-1.0
10,0.63,-0.1
10,0.63,-0.01
10,0.63,-0.001
10,0.63,-0.0001
10,0.63,0.0
10,0.63,0.0001
10,0.63,0.001
10,0.63,0.01
10,0.63,0.1
10,0.63,1.0
10,0.64,-1.0
10,0.64,-0.1
10,0.64,-0.01
10,0.64,-0.001
10,0.64,-0.0001
10,0.64,0.0
10,0.64,0.0001
10,0.64,0.001
10,0.64,0.01
10,0.64,0.1
10,0.64,1.0
10,0.65,-1.0
10,0.65,-0.1
10,0.65,-0.01
10,0.65,-0.001
10,0.65,-0.0001
10,0.65,0.0
10,0.65,0.0001
10,0.65,0.001
10,0.65,0.01
10,0.65,0.1
10,0.65,1.0
10,0.66,-1.0
10,0.66,-0.1
10,0.66,-0.01
10,0.66,-0.001
10,0.66,-0.0001
10,0.66,0.0
10,0.66,0.0001
10,0.66,0.001
10,0.66,0.01
10,0.66,0.1
10,0.66,1.0
10,0.67,-1.0
10,0.67,-0.1
10,0.67,-0.01
10,0.67,-0.001
10,0.67,-0.0001
10,0.67,0.0
10,0.67,0.0001
10,0.67,0.001
10,0.67,0.01
10,0.67,0.1
10,0.67,1.0
10,0.68,-1.0
10,0.68,-0.1
10,0.68,-0.01
10,0.68,-0.001
10,0.68,-0.0001
10,0.68,0.0
10,0.68,0.0001
10,0.68,0.001
10,0.68,0.01
10,0.68,0.1
