sent_tail_radius,repair_tail_frac,W_decay
1,0.48,0.0
1,0.48,1e-06
1,0.48,5e-05
1,0.48,7.5e-05
1,0.48,9e-05
1,0.48,0.0001
1,0.48,0.00011
1,0.48,0.000125
1,0.48,0.00015
1,0.48,0.0002
1,0.48,0.0003
1,0.48,0.00036
1,0.48,0.0004
1,0.48,0.00044
1,0.48,0.0005
1,0.48,0.0006
1,0.48,0.00072
1,0.48,0.00075
1,0.48,0.0008
1,0.48,0.00088
1,0.48,0.0009
1,0.48,0.001
1,0.48,0.0011
1,0.48,0.0012
1,0.48,0.00125
1,0.48,0.0015
1,0.48,0.0018
1,0.48,0.002
1,0.48,0.0022
1,0.48,0.0025
1,0.48,0.003
1,0.49,0.0
1,0.49,1e-06
1,0.49,5e-05
1,0.49,7.5e-05
1,0.49,9e-05
1,0.49,0.0001
1,0.49,0.00011
1,0.49,0.000125
1,0.49,0.00015
1,0.49,0.0002
1,0.49,0.0003
1,0.49,0.00036
1,0.49,0.0004
1,0.49,0.00044
1,0.49,0.0005
1,0.49,0.0006
1,0.49,0.00072
1,0.49,0.00075
1,0.49,0.0008
1,0.49,0.00088
1,0.49,0.0009
1,0.49,0.001
1,0.49,0.0011
1,0.49,0.0012
1,0.49,0.00125
1,0.49,0.0015
1,0.49,0.0018
1,0.49,0.002
1,0.49,0.0022
1,0.49,0.0025
1,0.49,0.003
1,0.495,0.0
1,0.495,1e-06
1,0.495,5e-05
1,0.495,7.5e-05
1,0.495,9e-05
1,0.495,0.0001
1,0.495,0.00011
1,0.495,0.000125
1,0.495,0.00015
1,0.495,0.0002
1,0.495,0.0003
1,0.495,0.00036
1,0.495,0.0004
1,0.495,0.00044
1,0.495,0.0005
1,0.495,0.0006
1,0.495,0.00072
1,0.495,0.00075
1,0.495,0.0008
1,0.495,0.00088
1,0.495,0.0009
1,0.495,0.001
1,0.495,0.0011
1,0.495,0.0012
1,0.495,0.00125
1,0.495,0.0015
1,0.495,0.0018
1,0.495,0.002
1,0.495,0.0022
1,0.495,0.0025
1,0.495,0.003
1,0.5,0.0
1,0.5,1e-06
1,0.5,5e-05
1,0.5,7.5e-05
1,0.5,9e-05
1,0.5,0.0001
1,0.5,0.00011
1,0.5,0.000125
1,0.5,0.00015
1,0.5,0.0002
1,0.5,0.0003
1,0.5,0.00036
1,0.5,0.0004
1,0.5,0.00044
1,0.5,0.0005
1,0.5,0.0006
1,0.5,0.00072
1,0.5,0.00075
1,0.5,0.0008
1,0.5,0.00088
1,0.5,0.0009
1,0.5,0.001
1,0.5,0.0011
1,0.5,0.0012
1,0.5,0.00125
1,0.5,0.0015
1,0.5,0.0018
1,0.5,0.002
1,0.5,0.0022
1,0.5,0.0025
1,0.5,0.003
1,0.505,0.0
1,0.505,1e-06
1,0.505,5e-05
1,0.505,7.5e-05
1,0.505,9e-05
1,0.505,0.0001
1,0.505,0.00011
1,0.505,0.000125
1,0.505,0.00015
1,0.505,0.0002
1,0.505,0.0003
1,0.505,0.00036
1,0.505,0.0004
1,0.505,0.00044
1,0.505,0.0005
1,0.505,0.0006
1,0.505,0.00072
1,0.505,0.00075
1,0.505,0.0008
1,0.505,0.00088
1,0.505,0.0009
1,0.505,0.001
1,0.505,0.0011
1,0.505,0.0012
1,0.505,0.00125
1,0.505,0.0015
1,0.505,0.0018
1,0.505,0.002
1,0.505,0.0022
1,0.505,0.0025
1,0.505,0.003
1,0.51,0.0
1,0.51,1e-06
1,0.51,5e-05
1,0.51,7.5e-05
1,0.51,9e-05
1,0.51,0.0001
1,0.51,0.00011
1,0.51,0.000125
1,0.51,0.00015
1,0.51,0.0002
1,0.51,0.0003
1,0.51,0.00036
1,0.51,0.0004
1,0.51,0.00044
1,0.51,0.0005
1,0.51,0.0006
1,0.51,0.00072
1,0.51,0.00075
1,0.51,0.0008
1,0.51,0.00088
1,0.51,0.0009
1,0.51,0.001
1,0.51,0.0011
1,0.51,0.0012
1,0.51,0.00125
1,0.51,0.0015
1,0.51,0.0018
1,0.51,0.002
1,0.51,0.0022
1,0.51,0.0025
1,0.51,0.003
1,0.52,0.0
1,0.52,1e-06
1,0.52,5e-05
1,0.52,7.5e-05
1,0.52,9e-05
1,0.52,0.0001
1,0.52,0.00011
1,0.52,0.000125
1,0.52,0.00015
1,0.52,0.0002
1,0.52,0.0003
1,0.52,0.00036
1,0.52,0.0004
1,0.52,0.00044
1,0.52,0.0005
1,0.52,0.0006
1,0.52,0.00072
1,0.52,0.00075
1,0.52,0.0008
1,0.52,0.00088
1,0.52,0.0009
1,0.52,0.001
1,0.52,0.0011
1,0.52,0.0012
1,0.52,0.00125
1,0.52,0.0015
1,0.52,0.0018
1,0.52,0.002
1,0.52,0.0022
1,0.52,0.0025
1,0.52,0.003
1,0.53,0.0001
1,0.53,0.00015
1,0.53,0.00018
1,0.53,0.0002
1,0.53,0.00022
1,0.53,0.00025
1,0.53,0.0003
1,0.53,0.0004
1,0.53,0.00045
1,0.53,0.0005
1,0.53,0.00054
1,0.53,0.0006
1,0.53,0.00066
1,0.53,0.00072
1,0.53,0.00075
1,0.53,0.0008
1,0.53,0.00088
1,0.53,0.0009
1,0.53,0.001
1,0.53,0.0011
1,0.53,0.0012
1,0.53,0.00125
1,0.53,0.0015
1,0.53,0.0018
1,0.53,0.002
1,0.53,0.0022
1,0.53,0.0025
1,0.53,0.003
1,0.54,0.0001
1,0.54,0.00015
1,0.54,0.00018
1,0.54,0.0002
1,0.54,0.00022
1,0.54,0.00025
1,0.54,0.0003
1,0.54,0.0004
1,0.54,0.00045
1,0.54,0.0005
1,0.54,0.00054
1,0.54,0.0006
1,0.54,0.00066
1,0.54,0.00072
1,0.54,0.00075
1,0.54,0.0008
1,0.54,0.00088
1,0.54,0.0009
1,0.54,0.001
1,0.54,0.0011
1,0.54,0.0012
1,0.54,0.00125
1,0.54,0.0015
1,0.54,0.0018
