seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,FTP,D_q50,D_q95,sent_q95
15,128,128,3,20,0.67,0.2,0.904917,0,0.249666,0.0528993,0.332316,1.25266,6.24546,0.173766
15,64,64,3,20,0.78,0.7,1.07593,0,0.482063,0.0530612,0.333008,4.9186,14.6119,0.150473
15,64,64,3,20,0.75,0.0001,1.00697,0.508829,0.522542,0.289796,0.351644,4.98416,14.8018,0.129159
15,64,64,3,20,0.78,0.7,1.07593,0,0.482063,0.0530612,0.333008,4.9186,14.6119,0.150473
15,64,64,3,20,0.78,0.7,1.07593,0,0.482063,0.0530612,0.333008,4.9186,14.6119,0.150473
15,64,64,3,20,0.78,0.7,1.07573,0,0.0162916,0,0,5.03951,15.3177,0.149788
15,64,64,3,20,0.78,0.7,1.11059,0,0.0175376,0,0,5.0352,15.3189,0.151008
15,64,64,3,20,0.78,0.7,1.11059,0,0.0175376,0,0,5.0352,15.3189,0.151008
15,128,128,3,20,0.78,0.7,1.06629,0.607768,0.395745,0.119023,0.331879,4.942,14.6785,0.146713
15,128,128,3,20,0.78,0.7,1.06629,0.607768,0.395745,0.119023,0.331879,4.942,14.6785,0.146713
15,128,128,3,20,0.78,0.7,1.07798,0,0.0155562,0,0,5.07233,15.3784,0.150768
15,128,128,3,20,0.78,0.7,1.07798,0,0.0155562,0,0,5.07233,15.3784,0.150768
15,128,128,3,20,0.78,0.7,1.12852,0,0.0158719,0,0,5.14646,15.8665,0.155434
15,128,128,3,20,0.78,0.7,1.15759,0,0.0167816,0,0,5.16818,16.0421,0.158412
15,256,256,3,20,0.78,0.7,1.04741,0.886783,0.355202,0.0989318,0.333509,4.91065,14.5426,0.139449
15,256,256,3,20,0.78,0.7,1.04741,0.886783,0.355202,0.0989318,0.333509,4.91065,14.5426,0.139449
15,256,256,3,20,0.78,0.7,1.05028,0.480201,0.380847,0.042472,0.333626,4.85827,14.1683,0.136327
15,256,256,3,20,0.78,0.7,1.05593,0,0.365023,0.0681587,0.333707,4.90322,14.5041,0.14182
15,256,256,3,20,0.78,0.7,1.07582,0.859405,0.34074,0.186673,0.333427,4.88538,14.4301,0.146939
15,256,256,3,20,0.75,0.7,1.0709,0.380773,0.355065,0.0694303,0.333588,4.95063,14.6579,0.153874
15,256,256,3,20,0.75,0.7,1.0709,0.380773,0.355065,0.0694303,0.333588,4.95063,14.6579,0.153874
15,256,256,3,20,0.735,0.7,1.09704,0,0.014534,0,0,5.1955,16.1135,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09675,0,0.0148072,0,0,5.19426,16.1133,0.154816
15,256,256,3,15,0.75,0.7,1.09692,0,0.0166916,0,0,5.19455,16.1149,0.154816
15,256,256,3,15,0.75,0.7,1.09692,0,0.0166916,0,0,5.19455,16.1149,0.154816
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09687,0,0.016656,0,0,5.1945,16.1148,0.154816
15,256,256,3,15,0.75,0.7,1.09687,0,0.016656,0,0,5.1945,16.1148,0.154816
15,256,256,3,15,0.75,0.7,1.09704,0,0.0135037,0,0,5.19314,16.1122,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.11634,0.869438,0.321133,0.105799,0.333961,4.86011,14.4987,0.163342
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09688,0,0.0128064,0,0,5.19068,16.1063,0.158477
15,256,256,3,15,0.75,0.7,1.09902,0,0.0137524,0,0,5.19055,16.1063,0.158477
15,256,256,3,15,0.75,0.7,1.09902,0,0.0137524,0,0,5.19055,16.1063,0.158477
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.09682,0,0.0135035,0,0,5.19312,16.1121,0.154744
15,256,256,3,15,0.75,0.7,1.0943,0,1,0,0,5.22958,16.1768,0.154744
15,256,256,3,15,0.75,0.7,1.0943,0,1,0,0,5.22958,16.1768,0.154744
15,256,256,3,15,0.75,0.7,1.0943,0,1,0,0,5.22958,16.1768,0.154744
